Path Token Count,Average Domain Token,Entropy URL,Charcomp Vowels,Charcomp Ace,Path Url Ratio,Domain URL Ratio,Symbol Count URL,URL Type
12,5.5,0.67680361,15,7,0.7625,0.15,6,benign
12,5,0.715629029,12,8,0.6923077,0.21794872,7,benign
11,4,0.677700828,16,11,0.7605634,0.12676056,8,benign
7,4.5,0.696067358,15,10,0.734375,0.15625,5,benign
10,6,0.747201735,9,5,0.7058824,0.19117647,9,benign
5,10.333333,0.777008721,2,1,0.2982456,0.57894737,7,Defacement
5,10.333333,0.756488457,5,2,0.33333334,0.55,7,Defacement
5,10.333333,0.763007591,3,3,0.2982456,0.57894737,7,Defacement
7,10.333333,0.66246863,11,9,0.5121951,0.40243903,8,Defacement
3,7,0.751755366,2,1,0.2682927,0.5609756,5,Defacement
10,6.5,0.697973769,19,11,0.7613636,0.1590909,14,malware
10,6.5,0.697973769,19,11,0.7613636,0.1590909,14,malware
10,6.5,0.694455305,19,11,0.7613636,0.1590909,14,malware
10,6.5,0.694455305,19,11,0.7613636,0.1590909,14,malware
10,6.5,0.693127283,19,11,0.7613636,0.1590909,14,malware
6,6.6666665,0.782245402,11,5,0.5735294,0.32352942,6,phishing
6,6.6666665,0.787076933,12,6,0.5735294,0.32352942,6,phishing
4,5.6666665,0.764103547,5,7,0.61764705,0.27941176,6,phishing
4,5.6666665,0.760152631,7,7,0.61764705,0.27941176,6,phishing
4,5.6666665,0.770999961,9,8,0.61764705,0.27941176,6,phishing
6,4.3333335,0.578691608,95,94,0.9742991,0.017523365,8,spam
10,6,0.729800677,14,10,0.75454545,0.18181819,13,spam
5,4.75,0.773641994,4,2,0.43137255,0.43137255,8,spam
5,6,0.733957982,5,2,0.43835616,0.46575344,9,spam
10,6,0.736308829,14,10,0.75454545,0.18181819,13,spam
